AccountID,Territory,Country,CustomerTenure,PhoneModel,RepeatCustomer,Promotion,CurrentPeriodUsage,PriorPeriodUsage,BaseFee,AdditionalFeatureSpend,NumberOfPenalties,CustomerServiceRating,CustomerServiceCalls,DaysSinceCSContact,PlanType,Cancelled
af88081,AL,USA,94,,no,yes,159.6,291.2,16.15,25,2,10,2,73,Purple Plan,
af99976,OR,USA,96,,no,no,113.3,177.9,24.29,15,0,6.6,4,96,Purple Plan,
ag15793,IN,USA,123,,no,yes,192,230.9,21.28,20,3,12.6,9,101,Green Plan,
ag53838,KS,USA,114,,no,no,223.5,215.9,37.88,18,1,0,0,113,Red Plan,
ag60615,PA,USA,125,,yes,no,181.2,142.7,43.49,12,0,11.7,3,111,Purple Plan,
ag64704,WV,USA,103,,no,no,167.3,101.3,18.6,9,1,7.8,7,111,Green Plan,
ag84429,ND,USA,94,,no,yes,222.2,231.7,21.17,20,1,6.4,12,90,Red Plan,
ag86089,DC,USA,124,,no,yes,196.2,188.9,18.31,16,0,8.9,3,104,Blue Plan,
ah15397,PA,USA,114,,no,no,264.6,185.5,45.61,16,1,6.3,7,111,Purple Plan,
ah20568,MD,USA,109,,yes,no,217.6,129.4,53.04,11,0,10.5,2,100,Red Plan,
ah26712,MN,USA,90,iPhone,no,no,181.4,223.3,26.71,19,1,6.1,2,72,Purple Plan,
ah80653,SD,USA,101,,no,no,210.1,195.8,10.83,17,1,10,6,95,Green Plan,
ah82155,DC,USA,140,,yes,yes,302,241.6,24.14,21,1,11.3,5,89,Green Plan,
ai12876,SD,USA,110,,no,no,135,191.7,25.08,16,2,16.4,3,97,Purple Plan,
ai30350,KY,USA,115,,no,no,211.4,249.8,24.5,21,1,13.6,3,68,Purple Plan,
ai37469,IN,USA,116,,no,no,292.1,235.3,48.86,20,4,5,3,126,Red Plan,
ai71851,NJ,USA,78,iPhone,no,yes,98,228.1,43.21,19,5,13.8,7,105,Green Plan,
ai91463,WA,USA,80,iPhone,no,no,149.7,176.6,35.77,15,1,15.5,4,96,Purple Plan,
aj33600,OH,USA,101,,yes,yes,139.8,183.3,39.95,16,2,5.7,7,79,Purple Plan,
aj48007,AZ,USA,112,,no,no,214.6,266.9,14.89,23,2,9.8,10,107,Blue Plan,
aj82375,NV,USA,87,Galaxy,no,no,217.6,266.5,24.55,23,0,7.1,7,128,Blue Plan,
aj85312,WY,USA,126,,no,no,158.6,248.9,35.72,21,4,14.4,2,108,Blue Plan,
ak39846,FL,USA,84,iPhone,no,no,201.7,203.7,28.12,17,1,8.2,1,107,Green Plan,
ak51713,AL,USA,110,,no,no,236.6,153.8,30.26,13,1,11.7,4,64,Purple Plan,
ak60119,OH,USA,79,Galaxy,no,yes,281.1,187.1,38.32,16,1,12.9,3,112,Green Plan,
ak61077,WI,USA,92,,yes,no,138.7,275,10.59,23,1,10.8,3,82,Purple Plan,
ak69296,MO,USA,108,,no,no,316.7,142.3,40.04,12,0,12.5,5,143,Purple Plan,
ak69946,GA,USA,117,,no,no,162.9,192.8,21.1,16,3,6.4,5,108,Purple Plan,
ak79431,HI,USA,99,,no,no,229.2,221.1,49.57,19,2,14,9,93,Red Plan,
al11666,MD,USA,88,Galaxy,no,no,184.9,213.9,20.93,18,5,12,2,84,Red Plan,
al24793,NH,USA,105,,no,no,163.4,206.2,36.23,18,0,8.9,3,108,Blue Plan,
al42178,MI,USA,120,,no,no,134.7,162.6,35.92,14,3,13.2,5,122,Purple Plan,
al55549,NV,USA,120,,no,no,222.5,267.1,12.38,23,2,11.8,2,120,Purple Plan,
al82995,HI,USA,122,,no,no,195.3,201,43.04,17,2,9.7,7,78,Purple Plan,
am45270,IN,USA,111,,no,no,250.1,234.5,36.28,20,1,2.7,4,94,Green Plan,
am46639,MT,USA,90,Galaxy,no,yes,153.8,151.4,26.08,13,4,12.8,4,97,Red Plan,
am73974,NE,USA,84,iPhone,no,yes,175.5,119.9,33.08,10,2,13.1,2,103,Purple Plan,
am95398,NY,USA,111,,no,yes,169.9,237.7,19.65,20,2,9.9,12,94,Green Plan,
an21653,DC,USA,77,iPhone,yes,no,96.4,123.5,18.04,11,0,12.9,3,100,Purple Plan,
an33672,AK,USA,107,,no,yes,23.2,168.7,27.22,14,3,9.5,4,136,Green Plan,
an47881,WA,USA,100,,no,no,111.6,165.1,31.47,14,3,6.3,4,88,Purple Plan,
an57143,UT,USA,110,,no,no,255.2,190.2,47.41,16,0,11.7,7,67,Red Plan,
ao35966,MI,USA,113,,no,yes,246.1,275.4,30.5,23,0,10,5,100,Purple Plan,
aq48128,MN,USA,94,,no,no,188.7,168.4,38.54,14,0,10.2,1,129,Purple Plan,
aq49948,IA,USA,119,,no,no,186.3,230.5,25.57,20,1,12.3,4,99,Purple Plan,
aq54845,TX,USA,118,,no,no,193.4,249.9,14.4,21,1,14.5,8,86,Blue Plan,
aq75265,MO,USA,105,,no,no,182.2,211.7,29.26,18,1,11.6,6,99,Purple Plan,
aq79686,GA,USA,121,,no,yes,123.8,262.8,27.98,22,1,15.2,4,108,Green Plan,
ar19646,HI,USA,121,,no,no,143.3,268.5,38.66,23,1,13,4,89,Purple Plan,
ar20345,IA,USA,125,,no,yes,269.9,175.9,14.98,15,2,9.7,1,142,Purple Plan,
ar25747,SC,USA,68,Galaxy,no,yes,173.8,172.8,24.92,15,1,10,2,67,Red Plan,
ar39561,NV,USA,89,iPhone,no,no,207.4,211.5,30.96,18,1,6.8,1,104,Purple Plan,
ar92021,VT,USA,127,,yes,yes,196.2,180.2,43.2,15,3,8.7,4,108,Green Plan,
ar92990,NY,USA,77,Galaxy,no,no,215.8,169.8,24.34,14,1,7.6,4,114,Purple Plan,
at17882,ID,USA,108,,no,no,165.8,143.1,34.8,12,6,11,4,105,Green Plan,
at23476,NY,USA,100,,no,no,206.7,189.6,18.67,16,1,11.1,3,104,Blue Plan,
at49625,WV,USA,129,,no,no,206.9,160.5,22.29,14,5,5.6,9,94,Red Plan,
at66271,ID,USA,137,,no,yes,144.9,193.8,15.91,16,1,17.5,5,72,Purple Plan,
at71976,DC,USA,87,iPhone,no,yes,218.3,178.5,31.52,15,4,8,3,128,Purple Plan,
at72038,WY,USA,135,,no,no,206.9,188.7,39.3,16,1,12.3,1,74,Purple Plan,
at73696,SD,USA,90,Galaxy,no,yes,252.1,175.7,25.08,15,2,15.6,3,108,Purple Plan,
at80064,TN,USA,99,,no,no,202,175.8,37.88,15,3,11,3,85,Green Plan,
at81177,CO,USA,66,iPhone,no,no,177.3,133.9,33.63,11,4,10.9,3,119,Red Plan,
au59622,PA,USA,96,,no,no,183.1,207.6,21.37,18,1,12.9,2,137,Purple Plan,
au65312,SD,USA,103,,no,no,263.9,199.7,29.94,17,2,8.5,6,130,Green Plan,
au73437,AR,USA,125,,no,no,289.3,250.7,29.82,21,1,9.8,9,87,Purple Plan,
au80551,FL,USA,86,Galaxy,no,yes,280.2,314.3,36.5,27,0,14.3,2,109,Purple Plan,
au99261,ID,USA,133,,no,no,217.2,175,18.94,15,3,5.5,6,66,Green Plan,
av20729,OH,USA,139,,no,no,285.3,241.9,41.77,21,4,4.2,5,113,Red Plan,
av46860,MN,USA,104,,no,yes,210,322.2,26.88,27,1,8.9,6,81,Green Plan,
av60461,NY,USA,123,,yes,no,260.7,161.3,29.58,14,2,11.4,3,115,Purple Plan,
av65569,AK,USA,104,,no,no,134.3,152.3,36.89,13,2,11.8,4,83,Green Plan,
av73915,TN,USA,145,,no,no,157.6,249.1,17.24,21,1,7.1,6,116,Blue Plan,
aw10961,FL,USA,117,,no,no,223,287.7,20.25,24,0,12.2,4,136,Purple Plan,
aw16262,AL,USA,110,,no,no,247.1,77.9,39.15,7,1,13.2,4,87,Purple Plan,
aw45853,CA,USA,86,Galaxy,no,no,245.2,205.1,29.84,17,4,17.8,3,78,Purple Plan,
aw48724,DC,USA,114,,no,no,245.9,271,30.38,23,2,16.4,5,96,Purple Plan,
aw53164,UT,USA,87,Galaxy,yes,no,121.1,216.3,46.16,18,1,11.7,4,126,Purple Plan,
aw75803,VA,USA,121,,yes,no,168.3,192.9,27.46,16,0,11.2,13,137,Red Plan,
ax33033,SC,USA,102,,no,no,211.6,99.1,29.6,8,2,7.7,2,118,Purple Plan,
ax50542,HI,USA,91,iPhone,no,no,171,305.8,33.54,26,1,6.7,6,81,Purple Plan,
ax86407,NC,USA,122,,yes,no,269,223.2,32.15,19,2,13.9,3,92,Red Plan,
ax94792,DE,USA,88,iPhone,no,no,229.9,210.9,23.92,18,2,12.4,4,98,Green Plan,
ay80241,WA,USA,116,,no,no,212.2,152.6,31.21,13,3,12.2,6,98,Blue Plan,
ay95772,NH,USA,109,,yes,yes,227.8,149.6,32.49,13,0,9.8,3,120,Purple Plan,
az11137,NM,USA,85,iPhone,no,yes,122.4,227.3,22.81,19,2,8.5,2,132,Purple Plan,
az39891,NC,USA,137,,yes,yes,168.9,264.9,37.59,23,2,15.4,4,99,Blue Plan,
az59568,MA,USA,129,,no,no,213.1,258.2,17.95,22,0,8.7,3,129,Purple Plan,
az72524,GA,USA,89,Galaxy,no,yes,194.6,172.1,21.61,15,1,12.1,3,116,Purple Plan,
ba19696,WY,USA,133,,no,no,215.1,120.7,31.21,10,1,12.7,2,98,Purple Plan,
ba54639,NV,USA,95,,yes,no,223.1,134.1,22.97,11,2,12.3,2,102,Green Plan,
ba75772,MD,USA,115,,no,no,197.4,224.4,35.17,19,3,8.3,2,86,Purple Plan,
ba85596,MD,USA,90,Galaxy,no,yes,239.9,217.4,19.62,18,1,13.1,4,78,Purple Plan,
ba90736,NM,USA,94,,no,yes,154.7,204.6,22.56,17,3,12.9,7,101,Green Plan,
ba92696,NH,USA,87,iPhone,no,yes,185.2,276.3,15.3,23,2,8.6,6,113,Blue Plan,
bb21385,KY,USA,62,Galaxy,no,no,212.1,275,16.9,23,2,16.7,3,86,Red Plan,
bb33518,MS,USA,105,,no,yes,229.6,256.1,13.99,22,6,11.8,2,91,Purple Plan,
bb94770,AK,USA,58,iPhone,no,no,158.8,183.1,29.38,16,4,7.9,3,108,Purple Plan,
bc24706,IA,USA,110,,no,no,215.6,153.2,23.55,13,1,11.1,7,86,Blue Plan,
bc39872,CO,USA,91,Galaxy,no,yes,219.4,131.1,25.26,11,1,10.1,1,97,Blue Plan,
bc44101,NM,USA,94,,no,no,140.8,268.1,13.87,23,1,8.6,18,112,Green Plan,
bc52402,VT,USA,35,Galaxy,no,no,168.8,192.1,54.75,16,1,7.2,4,119,Red Plan,
bc90667,SD,USA,118,,yes,no,192,196.6,42.74,17,0,11,2,80,Red Plan,
bd18949,SC,USA,109,,no,yes,178.4,264.7,25.52,23,1,5.8,4,103,Purple Plan,
bd62781,MA,USA,95,,no,no,142,188,43.04,16,1,4.4,4,116,Purple Plan,
be32657,MA,USA,84,iPhone,no,yes,219.7,201,34.83,17,0,11.3,5,102,Green Plan,
be62418,AK,USA,83,iPhone,no,no,155.6,181.6,25.21,15,3,8.3,6,79,Green Plan,
be74397,CO,USA,84,Galaxy,no,yes,256.5,194,26.1,16,5,10.2,7,73,Purple Plan,
bf19341,NH,USA,91,iPhone,no,no,260.4,212.1,27.56,18,1,12.2,5,94,Purple Plan,
bf80938,AR,USA,69,iPhone,no,no,287.8,146.8,27.32,12,0,8.2,5,106,Blue Plan,
bf97017,ID,USA,86,Galaxy,no,no,162.5,277.5,28.99,24,1,12.2,6,88,Purple Plan,
bg12044,KY,USA,97,,no,no,174.1,184.7,30.11,16,1,8,6,105,Red Plan,
bg26703,AZ,USA,70,Galaxy,no,no,212.5,185.7,25.53,16,1,12.1,2,98,Purple Plan,
bg29114,MI,USA,118,,no,yes,225.1,267.1,34.65,23,0,7.3,5,48,Purple Plan,
bg41759,OH,USA,54,iPhone,no,yes,142.3,292.4,31.09,25,0,11.5,4,68,Purple Plan,
bg41771,SC,USA,92,,no,yes,165.9,83.4,26.28,7,1,13.3,3,103,Purple Plan,
bg45192,WV,USA,120,,no,no,136.5,156.3,29.65,13,0,10.2,5,98,Purple Plan,
bg65029,OH,USA,93,,no,no,269.8,230.9,28.82,20,2,9,7,71,Purple Plan,
bh26775,IL,USA,95,,no,no,250.5,136.7,14.42,12,2,14.2,6,63,Green Plan,
bh44126,WY,USA,132,,no,no,228.2,230.5,29.31,20,0,11,5,100,Purple Plan,
bh45776,AZ,USA,84,iPhone,no,no,209.5,174.8,40.78,15,0,9.8,2,106,Blue Plan,
bh45940,ID,USA,83,iPhone,no,yes,116.4,258.6,28.46,22,4,11.2,3,129,Blue Plan,
bh58615,CO,USA,76,Galaxy,no,yes,144.1,229.7,31.25,20,1,7.7,3,95,Blue Plan,
bh71259,DE,USA,124,,no,no,243.3,266.6,33.75,23,2,8,7,100,Green Plan,
bh93563,NV,USA,61,Galaxy,no,no,242.7,179.3,28.34,15,4,6.8,7,88,Green Plan,
bi27501,FL,USA,112,,no,yes,248.1,240.6,32.88,20,5,11.4,3,131,Purple Plan,
bi61765,IN,USA,105,,no,no,189.6,155,26.84,13,4,8,5,101,Purple Plan,
bi75941,GA,USA,78,Galaxy,no,no,179.8,211,36.87,18,3,11.4,5,115,Purple Plan,
bi85334,VT,USA,104,,no,yes,323,225.9,30.48,19,0,8.6,7,86,Green Plan,
bj19484,CA,USA,98,,no,yes,167.1,271.2,15.78,23,1,5.8,7,115,Purple Plan,
bj26030,AL,USA,84,Galaxy,no,no,177.3,181.7,26.98,15,2,7.7,10,91,Purple Plan,
bj39494,AK,USA,66,Galaxy,no,no,261.9,125.9,27.08,11,1,11.1,5,75,Purple Plan,
bj41198,WI,USA,95,,no,no,148.2,270.2,17.34,23,1,10.7,3,139,Purple Plan,
bj83677,MN,USA,114,,no,no,276.6,194.6,43.4,17,3,3.7,5,83,Green Plan,
bk74424,MT,USA,73,iPhone,no,no,210.8,219.3,43.01,19,0,9.8,4,78,Blue Plan,
bl12020,RI,USA,96,,no,no,260.2,235.9,22.9,20,3,7.6,6,90,Blue Plan,
bl13115,NJ,USA,103,,no,no,242.9,132.3,29.84,11,1,11.8,3,120,Red Plan,
bl23310,AL,USA,66,iPhone,no,no,221.6,195.8,35.75,17,1,11.2,7,76,Purple Plan,
bl34265,OR,USA,117,,yes,yes,178,312.5,35.9,27,3,10.7,2,98,Red Plan,
bl81793,NY,USA,81,Galaxy,no,no,103.1,257.2,40.04,22,2,11.5,4,130,Purple Plan,
bl86819,NM,USA,109,,no,no,168.9,155.4,27.91,13,1,10.7,8,90,Green Plan,
bm21964,NJ,USA,116,,no,no,214.7,156.4,24.53,13,3,7.8,10,74,Blue Plan,
bm50969,OR,USA,107,,no,no,272,206.9,32.62,18,1,12.6,2,127,Purple Plan,
bm87607,RI,USA,83,iPhone,yes,no,245.4,247.8,33.05,21,2,11.2,7,84,Purple Plan,
bm90507,KY,USA,114,,no,no,168.4,207.7,37.4,18,2,12.1,3,76,Purple Plan,
bm95444,MO,USA,79,iPhone,yes,no,211.8,103.1,26.69,9,0,7.1,6,94,Blue Plan,
bn19530,IN,USA,151,,no,no,246,347.3,35.6,30,1,7.4,2,113,Blue Plan,
bn32986,MA,USA,100,,no,no,259.3,211.2,37.47,18,2,13.6,8,79,Purple Plan,
bn33762,LA,USA,100,,no,no,196,190.9,34.58,16,0,8.9,4,104,Red Plan,
bn45036,WA,USA,105,,no,no,245.3,174.3,41,15,2,8.5,4,85,Green Plan,
bn48341,IN,USA,88,iPhone,no,yes,350.2,147.4,31.13,13,1,11.3,7,89,Purple Plan,
bn69262,OH,USA,90,Galaxy,no,no,300.7,179.3,15.49,15,2,11.9,8,115,Red Plan,
bn90419,ME,USA,113,,no,no,174.3,242.2,25.38,21,2,8.9,6,122,Green Plan,
bo43909,WA,USA,96,,no,no,161.5,167.2,22.92,14,2,7.7,5,78,Blue Plan,
bo54986,DE,USA,47,Galaxy,no,no,238.4,282.9,40.75,24,2,8.7,3,110,Red Plan,
bo72933,WA,USA,146,,no,no,197.9,161.9,25.36,14,3,8.3,2,109,Red Plan,
bo77728,WV,USA,99,,no,yes,185.1,76.4,31.28,6,2,12.7,3,134,Blue Plan,
bo78195,MN,USA,112,,no,yes,135,263.3,26.04,22,1,11.9,7,110,Purple Plan,
bo80495,MT,USA,82,iPhone,no,yes,268.4,258.9,29.87,22,1,14.1,7,136,Red Plan,
bo90498,NC,USA,55,Galaxy,no,no,146.5,194.6,44.61,17,2,8.3,6,113,Purple Plan,
bp26663,NH,USA,121,,no,no,236.9,290.3,12.94,25,0,10.8,3,73,Green Plan,
bp30076,MS,USA,95,,no,no,251.2,179.3,22.37,15,1,15.5,3,109,Red Plan,
bp50710,WI,USA,103,,no,no,163.5,222.7,25.11,19,2,12.8,3,78,Blue Plan,
bp65108,KY,USA,93,,no,no,314.1,142.6,30.12,12,4,12.7,2,60,Purple Plan,
bp75185,RI,USA,110,,no,yes,238.5,215.1,36.02,18,0,9.4,2,120,Purple Plan,
bq23335,RI,USA,102,,no,yes,261.8,102.2,10.2,9,0,11.1,3,80,Blue Plan,
bq41466,NV,USA,112,,no,no,196.5,306.3,24.19,26,1,9.9,1,111,Purple Plan,
br57691,AZ,USA,76,Galaxy,no,no,214.6,153.3,39.51,13,1,10.5,2,103,Blue Plan,
br76877,VT,USA,89,iPhone,no,no,196.3,234,26.15,20,4,11.6,2,89,Blue Plan,
br93924,GA,USA,95,,no,no,212.7,256.1,25.48,22,2,13.3,13,110,Purple Plan,
br97813,VT,USA,117,,no,no,240.8,223.6,23.78,19,2,12.7,4,96,Purple Plan,
bs72450,MO,USA,80,Galaxy,no,no,291.8,213.6,37.6,18,4,11.9,3,104,Purple Plan,
bs74104,OH,USA,76,Galaxy,no,no,219.5,176.7,47.26,15,0,8.3,4,74,Red Plan,
bs77247,NH,USA,105,,no,no,246.2,201.5,38.44,17,1,10.3,5,107,Purple Plan,
bt30827,WA,USA,65,Galaxy,no,yes,104.5,172.7,30.02,15,2,11.3,5,96,Red Plan,
bt35916,ME,USA,129,,no,no,180.2,113.4,20.81,10,1,12.5,7,108,Green Plan,
bt55225,MI,USA,89,iPhone,no,no,170.5,246,17.44,21,2,9.1,4,77,Purple Plan,
bt64714,NE,USA,116,,no,yes,246.1,192.2,35.75,16,6,10.8,4,83,Blue Plan,
bu36821,FL,USA,123,,no,no,212.6,176.6,24.89,15,1,7.8,5,113,Purple Plan,
bu42943,DC,USA,78,Galaxy,no,yes,188.3,222.1,37.32,19,1,16.1,5,94,Green Plan,
bu46907,AL,USA,63,iPhone,no,yes,160.2,254.9,33.05,22,2,17.2,9,110,Purple Plan,
bu75895,TX,USA,96,,no,no,206.1,201.2,34.05,17,4,7.1,1,102,Purple Plan,
bu90053,MD,USA,137,,yes,yes,294.8,210.6,29.84,18,1,6.9,5,60,Purple Plan,
bu91419,AZ,USA,92,,no,yes,205,139.6,34.77,12,2,8.6,5,121,Purple Plan,
bv15831,CA,USA,98,,no,no,105.2,281.3,31.18,24,1,8.2,8,95,Red Plan,
bv15939,NM,USA,87,Galaxy,no,no,270,256.7,27.22,22,2,7,1,120,Purple Plan,
bw16974,MT,USA,88,Galaxy,no,no,192.3,247.6,26.62,21,3,12.3,5,75,Green Plan,
bw32399,DE,USA,122,,no,no,224.7,220.6,27.42,19,1,9.6,3,95,Red Plan,
bw49140,IN,USA,67,Galaxy,no,no,270.2,249.3,29.84,21,1,10.2,3,85,Blue Plan,
bw82390,KY,USA,89,Galaxy,yes,no,223.7,175.8,24.65,15,2,16.7,3,102,Red Plan,
bx33671,ND,USA,85,Galaxy,no,no,207.8,241.1,29.58,20,1,7.9,1,114,Green Plan,
bx65014,CA,USA,109,,no,no,231.8,242.4,42.47,21,0,11.6,4,106,Red Plan,
bx67593,OH,USA,99,,no,yes,108.9,245.1,45.97,21,1,15.4,7,110,Purple Plan,
bx82830,LA,USA,96,,no,no,196.9,149.9,28.76,13,2,4.6,4,83,Blue Plan,
bx85718,WA,USA,65,Galaxy,no,no,107.3,257.4,39.17,22,1,8.5,3,80,Purple Plan,
by11070,IA,USA,75,iPhone,no,no,270,264.8,27,23,1,7.6,7,91,Purple Plan,
by52443,AL,USA,91,,no,no,135,207.5,18.6,18,0,11.6,5,111,Purple Plan,
by69827,IL,USA,95,,no,no,262.9,256.1,26.5,22,3,11.7,3,97,Purple Plan,
by72037,KS,USA,96,,no,yes,211.4,241.3,29.8,21,0,7.8,2,146,Green Plan,
by98716,KS,USA,68,iPhone,no,no,191.6,251.6,35.29,21,2,10.9,6,123,Purple Plan,
bz27197,KY,USA,121,,no,yes,251.7,223.1,47.58,19,1,13,2,109,Blue Plan,
bz36397,NY,USA,93,,no,no,214,209.1,24.72,18,1,10.9,1,98,Green Plan,
bz41995,AZ,USA,139,,no,yes,246.9,113,28.49,10,1,12.2,6,118,Purple Plan,
bz49217,IN,USA,123,,no,no,188.2,150.7,8.48,13,2,10.1,4,81,Blue Plan,
bz57381,WA,USA,114,,no,no,185.9,137.2,25.87,12,0,9.8,3,102,Purple Plan,
bz69231,DE,USA,100,,no,no,164.3,184.6,35.96,16,2,13.3,4,88,Blue Plan,
bz89280,TX,USA,105,,no,no,244.9,169.9,28.75,14,3,9.9,10,102,Purple Plan,
bz97707,ID,USA,104,,no,yes,377.5,171.5,37.83,15,1,9.7,2,94,Purple Plan,
ca16726,NY,USA,107,,no,yes,200,312.8,27.71,27,1,11.6,5,118,Purple Plan,
ca58803,AZ,USA,98,,no,no,150.4,225.6,13.38,19,0,14,8,102,Purple Plan,
cb27463,ID,USA,79,Galaxy,no,yes,173.4,202.8,44.93,17,4,6.3,3,118,Green Plan,
cb56344,MN,USA,94,,yes,no,154.4,179.9,27.18,15,2,11.6,2,95,Red Plan,
cc30028,NE,USA,84,iPhone,no,no,243.9,165.3,20.67,14,1,8.9,2,115,Blue Plan,
cc44478,HI,USA,108,,no,no,112.3,253.8,30.84,22,1,11.6,6,54,Purple Plan,
cc70500,NV,USA,147,,no,yes,193,190.7,28.54,16,4,9.2,6,105,Blue Plan,
cd12926,WY,USA,130,,no,yes,195.6,213.4,44.34,18,1,10.1,5,111,Blue Plan,
cd14770,OH,USA,97,,no,no,172.8,89.8,32.81,8,1,15.3,3,99,Purple Plan,
cd20406,MN,USA,110,,yes,no,179.7,220.2,20.74,19,2,10.8,2,100,Red Plan,
cd34176,KY,USA,129,,no,no,257.2,210.2,28.31,18,1,9.9,5,107,Purple Plan,
cd36353,PA,USA,108,,yes,no,223,186.6,32.93,16,0,11.6,8,98,Blue Plan,
cd47461,NV,USA,82,Galaxy,yes,yes,190.5,217.7,37.52,19,1,13.2,6,110,Blue Plan,
cd49362,DC,USA,92,,no,no,250.9,173.7,31.76,15,2,9.7,4,123,Green Plan,
cd50157,MO,USA,75,iPhone,no,yes,270,165.8,26.18,14,1,10.8,5,97,Purple Plan,
cd58114,VA,USA,98,,no,no,240,228,16.51,19,1,10.6,3,131,Purple Plan,
cd66919,DC,USA,119,,no,no,275.9,161,25.01,14,5,9,3,111,Blue Plan,
cd70114,MD,USA,113,,no,yes,192.6,172.7,28.46,15,3,9.5,4,94,Blue Plan,
cd77941,MA,USA,108,,no,no,263.3,253.9,49.37,22,3,10.1,5,92,Red Plan,
cd81480,NE,USA,96,,no,yes,274.4,167.7,24,14,1,11.4,2,94,Purple Plan,
ce19774,TN,USA,92,,no,yes,195.1,228.9,24.12,19,0,8.7,5,102,Purple Plan,
ce20227,WA,USA,74,iPhone,no,yes,214.1,169.5,25.18,14,2,6.2,5,88,Purple Plan,
cf18254,AK,USA,96,,no,no,205.9,167.6,22.42,14,3,14.7,5,107,Green Plan,
cf26031,NM,USA,101,,no,no,249.4,286,37.79,24,1,12.1,4,111,Red Plan,
cf36081,AZ,USA,118,,no,no,280.2,252.4,42.43,21,1,11.8,3,119,Purple Plan,
cf45705,IL,USA,91,,yes,no,190.5,147.3,18.7,13,0,6.4,7,75,Green Plan,
cf53738,MN,USA,105,,no,yes,210.3,175.9,40.36,15,3,9.2,3,93,Purple Plan,
cf57951,FL,USA,117,,no,no,208.8,239.7,26.37,20,0,10.6,4,93,Green Plan,
cf77689,PA,USA,125,,no,no,264.5,162.3,30.52,14,1,6.6,2,139,Blue Plan,
cg10779,ND,USA,101,,no,yes,252.7,196.4,21.4,17,1,10.3,4,102,Purple Plan,
cg13298,PA,USA,121,,no,no,238.8,169.9,24.91,14,0,8.2,5,125,Purple Plan,
cg29051,OR,USA,98,,no,no,259,192.6,19.52,16,0,12.2,5,101,Green Plan,
cg32976,OR,USA,94,,no,no,223.3,186.7,33.05,16,3,10.8,5,95,Purple Plan,
cg57507,WY,USA,80,iPhone,no,no,202.1,208.7,21.9,18,1,14,7,93,Purple Plan,
cg68360,KS,USA,99,,no,no,193.6,167.9,54.62,14,1,8,4,93,Red Plan,
cg88317,VA,USA,129,,no,yes,259.2,247,26.79,21,0,13.7,2,96,Purple Plan,
ch70605,LA,USA,139,,no,yes,127.4,183.2,31.37,16,0,12.3,6,78,Green Plan,
ch86564,VA,USA,91,iPhone,no,no,245.1,154.9,35.19,13,3,13.4,5,121,Green Plan,
ci15973,AR,USA,145,,no,no,208.6,316.4,45.53,27,5,14.4,11,121,Blue Plan,
